case_name,mode,provider,model,runtime_seconds,llm_calls,initial_issue_count,final_issue_count,resolved_issue_count,average_f1,initial_class_precision,initial_class_recall,initial_class_f1,initial_attribute_precision,initial_attribute_recall,initial_attribute_f1,initial_relationship_strict_f1,initial_relationship_relaxed_f1,final_class_precision,final_class_recall,final_class_f1,final_attribute_precision,final_attribute_recall,final_attribute_f1,final_relationship_strict_precision,final_relationship_strict_recall,final_relationship_strict_f1,final_relationship_relaxed_precision,final_relationship_relaxed_recall,final_relationship_relaxed_f1
files,cascade,gemini,gemini-3.1-flash-lite,14.223254666999999,6,2,2,0,0.842857142857143,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285715,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5714285714285715,0.6666666666666666,1.0,0.8
uni,cascade,gemini,gemini-3.1-flash-lite,9.723499582999999,7,2,2,0,0.6607142857142858,0.75,0.75,0.75,0.75,0.75,0.75,0.5714285714285715,0.5714285714285715,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.6666666666666666,0.5714285714285715,0.5,0.6666666666666666,0.5714285714285715
files,rethink,gemini,gemini-3.1-flash-lite,21.80437575,11,2,2,0,0.7833333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285715,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
airlines,single,gemini,gemini-3.1-flash-lite,3.5528524580000003,2,2,2,0,0.38095238095238093,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.75,0.8571428571428571,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.75,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
amphibious,single,gemini,gemini-3.1-flash-lite,3.664004417000001,2,2,2,0,0.9500000000000001,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
car,single,gemini,gemini-3.1-flash-lite,5.586482624999995,2,2,2,0,0.7916666666666666,1.0,1.0,1.0,0.6,0.75,0.6666666666666665,0.7499999999999999,0.7499999999999999,1.0,1.0,1.0,0.6,0.75,0.6666666666666665,0.6,1.0,0.7499999999999999,0.6,1.0,0.7499999999999999
files,single,gemini,gemini-3.1-flash-lite,4.307799333999999,2,2,2,0,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
robots,single,gemini,gemini-3.1-flash-lite,7.869352750000001,2,1,1,0,0.6805555555555557,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.4444444444444445,0.4444444444444445,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.4,0.5,0.4444444444444445,0.4,0.5,0.4444444444444445
theater,single,gemini,gemini-3.1-flash-lite,6.5264465000000005,2,2,2,0,0.6294934640522876,0.875,0.7777777777777778,0.823529411764706,0.5,0.4,0.4444444444444445,0.625,0.625,0.875,0.7777777777777778,0.823529411764706,0.5,0.4,0.4444444444444445,0.625,0.625,0.625,0.625,0.625,0.625
uni,single,gemini,gemini-3.1-flash-lite,3.419723917,2,2,2,0,0.5892857142857143,0.75,0.75,0.75,0.75,0.75,0.75,0.28571428571428575,0.5714285714285715,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.3333333333333333,0.28571428571428575,0.5,0.6666666666666666,0.5714285714285715
videostore,single,gemini,gemini-3.1-flash-lite,5.361297458999999,2,2,2,0,0.4285714285714286,0.75,1.0,0.8571428571428571,0.0,0.0,0.0,0.28571428571428575,0.5714285714285715,0.75,1.0,0.8571428571428571,0.0,0.0,0.0,0.2,0.5,0.28571428571428575,0.4,1.0,0.5714285714285715
